step	accuracies
0	1.738866194500588e-05
1	1.582316608207964e-05
2	1.3010898105025618e-05
3	1.0814220698988781e-05
4	1.0333031001636399e-05
5	1.0468569567009134e-05
6	1.0303328257935803e-05
7	1.2561890900860607e-05
8	1.2844327014658856e-05
9	1.3522387349326534e-05
10	1.323269507949257e-05
11	1.3058480783043034e-05
12	1.706126697216993e-05
13	1.680042012698431e-05
14	1.705371374473426e-05
15	1.714046500235144e-05
16	1.7131979383486412e-05
17	1.7514392399780606e-05
18	1.7108495337736444e-05
19	1.753238988076792e-05
20	1.7603359856447294e-05
21	1.786817059850071e-05
22	1.8545763664123233e-05
23	1.9353538906591047e-05
24	1.955126048757861e-05
25	1.9072910701191586e-05
26	1.9270900342427115e-05
27	1.9874578551401543e-05
28	1.9852952010085963e-05
29	1.9765608193162866e-05
30	1.9706503338433125e-05
31	1.98036983680179e-05
32	1.9596511087731964e-05
33	2.0419718019459755e-05
34	2.0397904994488076e-05
35	2.0198258598780605e-05
36	2.096764239764868e-05
37	2.1868321158382218e-05
38	2.168115928700678e-05
39	2.1446813302804387e-05
40	2.119016192862184e-05
41	2.067171326125905e-05
42	2.0850839154320018e-05
43	2.0607199853202788e-05
44	2.07660112458141e-05
45	2.0406842930300095e-05
46	2.096925419317138e-05
47	2.0796785126495076e-05
48	2.055628350800251e-05
49	2.0341687590821425e-05
50	2.0344942135340256e-05
51	2.1596880962812927e-05
52	2.241948551477854e-05
53	2.3131984877356006e-05
54	2.303266800846196e-05
55	2.2767108944291608e-05
56	2.2444044509844155e-05
57	2.318525795136842e-05
58	2.389709731359174e-05
59	2.4920080621155404e-05
60	2.4983949589674767e-05
61	2.5306187879962718e-05
62	2.585776836852425e-05
63	2.541456299574576e-05
64	2.5288990899145708e-05
65	2.530241636968784e-05
66	2.5399762788070902e-05
67	2.6806504656481904e-05
68	2.7405051909263467e-05
69	2.7871927211735926e-05
70	2.7493172467218972e-05
71	2.837716716998206e-05
72	2.9192494045586292e-05
73	2.9873333820823337e-05
74	2.9595480753461763e-05
75	2.9906163191074523e-05
76	3.2349586126425286e-05
77	3.226731548056092e-05
78	3.2555620772199353e-05
79	3.437034712770524e-05
80	3.375380285011329e-05
81	3.3152540734551506e-05
82	3.2566567309289904e-05
83	3.1995335249536304e-05
84	3.143832297394159e-05
85	3.089503314797318e-05
86	3.0364991290504793e-05
87	2.9847744475412213e-05
88	2.9342860120702412e-05
89	2.884992485836813e-05
90	2.836854347875805e-05
91	2.789833794379306e-05
92	2.7438946463846502e-05
93	2.6990022633547503e-05
94	2.6551234622165707e-05
95	2.6122264414597454e-05
96	2.5702807099301823e-05
97	2.5292570199832823e-05
98	2.4891273046885364e-05
99	2.449864618801884e-05
100	2.411443083244715e-05
101	2.37383783284885e-05
102	2.3370249671455485e-05
103	2.300981503993651e-05
104	2.2656853358575807e-05
105	2.2311151885602142e-05
106	2.197250582348709e-05
107	2.164071795123378e-05
108	2.1315598276906974e-05
109	2.099696370911634e-05
110	2.0684637746257734e-05
111	2.045421094651898e-05
112	2.015288149268396e-05
113	2.0216293359844982e-05
114	1.9921247183384947e-05
115	1.9636454979910833e-05
116	1.937269640333824e-05
117	2.1039909016828562e-05
118	2.291652923309211e-05
119	2.2591254685129822e-05
120	2.2335238846575854e-05
121	2.20546765220029e-05
122	2.1743833408887297e-05
123	2.3611245680746988e-05
124	2.3281153380026866e-05
125	2.295696623088387e-05
126	2.3055662191938855e-05
127	2.2835929667397678e-05
128	2.2553548170516045e-05
129	2.2954822439488553e-05
130	2.3170196203303245e-05
131	2.2972065668430095e-05
132	2.2660490219410092e-05
133	2.235423200935243e-05
134	2.2053171153065967e-05
135	2.175719128392052e-05
136	2.1466179425531362e-05
137	2.1180025869022843e-05
138	2.089862405558998e-05
139	2.0621870464093236e-05
140	2.0349664503436574e-05
141	2.00819084094929e-05
142	1.981850714635444e-05
143	1.9559368311697635e-05
144	1.9304402046064033e-05
145	1.905352094586936e-05
146	1.880663997996326e-05
147	1.8563676409571703e-05
148	1.8324549711463204e-05
149	1.8089181504188346e-05
